Fabricante,Modelo,Ano,Problema,Causa,Solucao,Orcamento,Categoria do Problema,Gravidade do Problema,Tempo Estimado de Reparo
Ford,Focus,2019,Motor fazendo ruído metálico,Filtro de combustível entupido,Limpeza e troca do filtro,1882,Freios,Média,2.9
Fiat,Mobi,2022,Falha no sistema de direção elétrica,Falha no sistema hidráulico,Troca da embreagem,1934,Transmissão,Baixa,3.2
Renault,Kwid,2018,Transmissão com falhas,Correia de direção desgastada,Substituição das válvulas,1006,Motor,Média,2.6
Renault,Duster,2022,Dificuldade para engatar marchas,Falta de gás refrigerante,Substituição da bateria,1131,Transmissão,Média,2.8
Chevrolet,S10,2018,Dificuldade para engatar marchas,Problema na embreagem,Substituição do sensor,1373,Direção,Média,1.6
Fiat,Argo,2018,Dificuldade para engatar marchas,Falha no sistema hidráulico,Troca do sensor de oxigênio,1227,Transmissão,Baixa,2.5
Volkswagen,Polo,2018,Dificuldade para engatar marchas,Desgaste nas válvulas,Reprogramação do módulo de direção,1470,Direção,Baixa,3.2
Toyota,Hilux,2020,Ar condicionado não refrigera,Falha no sistema hidráulico,Reprogramação do módulo de direção,1111,Transmissão,Alta,2.4
Chevrolet,Onix,2023,Luz de injeção acesa,Defeito no módulo de direção,Troca do sensor de oxigênio,1324,Elétrico,Média,2.2
Renault,Captur,2020,Ruído ao virar o volante,Defeito no módulo de direção,Substituição da bateria,441,Elétrico,Baixa,3.1
Renault,Duster,2018,Transmissão com falhas,Falha no sistema hidráulico,Troca da correia de direção,607,Elétrico,Alta,3.0
Ford,Fiesta,2017,Vibração ao frear,Sonda lambda com falhas,Troca do sensor de oxigênio,1941,Freios,Alta,2.1
Ford,Ranger,2023,Motor fazendo ruído metálico,Falha no sistema hidráulico,Troca do fluido hidráulico,1271,Motor,Média,2.5
Honda,Fit,2017,Dificuldade para engatar marchas,Defeito no módulo de direção,Troca do fluido hidráulico,1470,Direção,Alta,3.1
Fiat,Argo,2015,Ruído ao virar o volante,Sensor de oxigênio com defeito,Substituição das válvulas,1777,Motor,Alta,3.6
Honda,Civic,2022,Consumo elevado de combustível,Sensor de oxigênio com defeito,Reprogramação do módulo de direção,715,Motor,Baixa,3.9
Ford,Fiesta,2016,Luz do ABS acesa,Sonda lambda com falhas,Substituição do sensor,331,Elétrico,Média,3.6
Toyota,Hilux,2015,Veículo demora a ligar,Desgaste nos discos de freio,Reprogramação do módulo de direção,1502,Direção,Média,1.6
Renault,Duster,2020,Veículo demora a ligar,Defeito no módulo de direção,Substituição da sonda lambda,1119,Freios,Baixa,3.8
Chevrolet,Cruze,2020,Dificuldade para engatar marchas,Sensor ABS defeituoso,Troca do fluido hidráulico,1775,Freios,Média,1.4
Renault,Captur,2021,Perda de potência em subidas,Sensor de oxigênio com defeito,Substituição das válvulas,1069,Motor,Baixa,2.8
Honda,Fit,2020,Perda de potência em subidas,Sensor ABS defeituoso,Limpeza e troca do filtro,1047,Motor,Média,3.4
