Fabricante;Modelo;Ano;Problema;Causa;Solucao;Orcamento;Categoria do Problema;Gravidade do Problema;Tempo Estimado de Reparo
Chrysler;Eclipse;2020;Ar condicionado não está gelando;Radiador entupido;Ncleo do aquecedor substitudo/lavado/limpo ou motor do atuador da porta de mistura substitudo/conectado/reiniciado/reparado ou procedimento de lavagem do sistema de arrefecimento realizado;1624;Direção;Crítica;4 horas
Lexus;Camry;2016;Tremores do motor;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Substituio do compressor de ar;1652;Direção;Média;1 dia
Ford;Cruze;2010; necessrio redefinir o ciclo de conduo do monitor DTC;Sistema de admisso de ar restrito  Sistema de exausto restrito  Turbocompressor com falha;Mdulo de controle de transmisso (TCM) substitudo/reparado/apertado/ajustado;903;Direção;Média;1 dia
Buick;Sedona;2020;Freios falhando;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Troca da bateria;1426;Freios;Média;1 dia
Cadillac;Camry;2016;Bateria descarregada;Falha na operao de carga parcial da vlvula de ventilao do crter.;Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;1218;Motor;Média;4 horas
Mazda;Outback;2015;Cmbio travado;Compressor de ar condicionado (A/C);Bobina(s) de ignição substituída(s)/reparada(s)  Bobina(s) de ignição substituída(s) e vela(s) de ignição substituída(s)/reaprendida(s);1516;Direção;Média;2 horas
Hyundai;Escalade;2016;Bateria no est sendo carregada pelo alternador.;Falha na caixa de transmisso;Troca das pastilhas de freio;413;Transmissão;Média;2 dias
Honda;Altima;2016;Sem manivela  No inicia;Falha na caixa de transmisso;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;2216;Sistema de Escape;Crítica;3 dias
BMW;F-150;2017;Cdigo de advertncia de falha de ignio do motor P0352;Passagens de lquido de arrefecimento obstrudas  Termostato de lquido de arrefecimento com defeito  Lquido de arrefecimento do motor contaminado  Ncleo do aquecedor obstrudo  Bomba de gua com defeito;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;2109;Freios;Média;3 dias
Hyundai;Sedona;2012;Indicador de nvel de combustvel irregular, medidor de combustvel no funciona;Bobina de ignição com falha;Procedimento de reinicializao do lembrete de manuteno realizada/redefinida;2050;Transmissão;Crítica;1 dia
Kia;XJ 3.0;2019;Ar condicionado no resfria;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);1218;Suspensão;Média;1 dia
Honda;A3 Quattro;2018;Falha no sistema de airbags;Falha no conversor de torque;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;464;Sistema de Arrefecimento;Crítica;1 dia
Kia;3;2012;Sem manivela  No inicia;Sensor de oxignio com defeito;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);1389;Transmissão;Média;1 dia
Infiniti;Camry;2017;Freios falhando;Fluido de transmisso automtica  Bobina(s) de ignio  Vela(s) de ignio  Pistes do balancim de controle de elevao de tempo varivel (VTEC)  Molas do balancim de controle de elevao de tempo varivel (VTEC);Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;1170;Suspensão;Média;1 dia
